Discipline,Male,Female,Total
3x3 Basketball,32,32,64
Archery,64,64,128
Artistic Gymnastics,96,94,190
Artistic Swimming,0,106,106
Athletics,1036,982,2018
Badminton,88,87,175
Basketball,144,144,288
Beach Volleyball,48,48,96
Boxing,124,124,248
Breaking,16,17,33
Canoe Slalom,43,41,84
Canoe Sprint,119,120,239
Cycling BMX Freestyle,12,12,24
Cycling BMX Racing,34,33,67
Cycling Mountain Bike,36,34,70
Cycling Road,94,94,188
Cycling Track,117,118,235
Diving,67,68,135
Equestrian,149,93,242
Fencing,130,130,260
Football,311,240,551
Golf,60,60,120
Handball,185,181,366
Hockey,212,203,415
Judo,192,186,378
Marathon Swimming,31,24,55
Modern Pentathlon,36,36,72
Rhythmic Gymnastics,0,94,94
Rowing,249,244,493
Rugby Sevens,159,158,317
Sailing,165,165,330
Shooting,171,171,342
Skateboarding,44,44,88
Sport Climbing,34,34,68
Surfing,24,24,48
Swimming,463,390,853
Table Tennis,87,88,175
Taekwondo,69,65,134
Tennis,89,87,176
Trampoline Gymnastics,16,16,32
Triathlon,57,55,112
Volleyball,156,155,311
Water Polo,156,130,286
Weightlifting,61,61,122
Wrestling,195,96,291
Triathlon,57,55,112
Volleyball,156,155,311
Water Polo,156,130,286
Weightlifting,61,61,122
Wrestling,195,96,291
